ABACUF01_FSR,0.635073
ABAFUH_FSR,2.193039
ABALOF_FSR,1.134227
ABAXUZ_FSR,1.973283
ABAYEI_FSR,2.528225
ABAYIM_FSR,1.221965
ABAYOS01_FSR,1.342469
ABECAM_FSR,2.74894
ABENAY_FSR,1.668096
ABEREH01_FSR,0.751267
ABEWUB_FSR,2.137263
ABEXUD_FSR,0.089832
ABEYOX_FSR,2.457655
ABIFAT01_FSR,1.017425
ABIGEZ_FSR,0.466969
ABIQAE_FSR,2.047996
ABITUA_FSR,1.911832
ABIVOY_FSR,3.083454
ABIWAL_FSR,2.679929
ABIWEP01_FSR,4.547046
ABIWUF_FSR,2.786269
ABIXAL01_FSR,2.556921
ABIXAM_FSR,2.847271
ABIXIU_FSR,0.918111
ABOTUJ_FSR,0.954857
ABOVOF_FSR,0.644481
ABOVUL_FSR,0.514632
ABPENC_FSR,3.353651
ABPZCU01_FSR,1.005931
ABPZCU07_FSR,1.009462
ABUSOG_FSR,0.287807
ABUXUT_FSR,0.580857
ABXALA01_FSR,3.647167
ABZCUH01_FSR,3.112947
ABZCUH05_FSR,3.053996
ACAFOZ_FSR,1.510856
ACAKEX_FSR,0.774568
ACATIJ_FSR,1.407161
ACAZAG_FSR,3.13924
ACAZEK_FSR,2.591703
ACEGIA_FSR,3.809101
ACEGOG_FSR,3.61033
ACEKIE_FSR,3.352066
ACEKOK_FSR,2.810681
ACETCO_FSR,0.508877
ACIGAX_FSR,2.578581
ACIGEB_FSR,2.456617
ACIJAX_FSR,0.686774
ACIKAA_FSR,3.76444
ACIPEJ_FSR,1.060328
ACIRIP_FSR,3.54529
ACIROV_FSR,3.239596
ACISEM_FSR,0.653856
ACISIQ_FSR,0.785214
ACISOW_FSR,3.873838
ACITAK_FSR,2.44062
ACIWUF_FSR,2.431973
ACIXAM_FSR,2.218631
ACIZIX_FSR,3.39742
ACODAA_FSR,0.042582
ACOHAE_FSR,3.427419
ACOHEF_FSR,2.509511
ACOHUW01_FSR,1.482822
ACOLIP_FSR,2.689994
ACOMOX_FSR,2.840273
ACOVEU_FSR,0.441175
ACOYEY_FSR,2.905189
ACRNCU_FSR,1.391934
ACUBOP01_FSR,3.003228
ACUBOP_FSR,3.083354
ACUFEL_FSR,2.463934
ACUFIO01_FSR,3.114089
ACUFOU_FSR,3.140342
ACUFOV_FSR,4.335031
ACUFUA_FSR,2.82847
ACUFUB_FSR,1.598353
ACUGAH_FSR,3.005803
ACUGEL_FSR,3.319757
ADABAK_FSR,0.732904
ADABEO_FSR,0.727572
ADABIS_FSR,0.820787
ADABUE_FSR,0.710393
ADACUE01_FSR,3.188529
ADACUE_FSR,3.173462
ADADEP_FSR,1.114999
ADAPAX_FSR,2.793043
ADAQII_FSR,2.930454
ADAVEJ01_FSR,3.418787
ADAVEJ_FSR,3.448207
ADAXOV_FSR,0.777583
ADEGAU_FSR,0.497469
ADEGIA01_FSR,3.381991
ADETEL_FSR,2.931803
ADEZUH_FSR,4.18309
ADICIA_FSR,0.716066
ADILIJ01_FSR,3.334302
ADINOT_FSR,2.365299
ADIPAH_FSR,2.355337
ADIQAH_FSR,0.903271
ADIQEL_FSR,1.20962
ADIQIP_FSR,0.316478
